epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,164.479,1.37191,3.50892,0.0089,0.87428,0.59544,0.78783,0.52094,1.08101,3.72489,0.00848,0.000657778,0.000657778,0.000657778
2,324.931,1.33791,2.61974,0.00862,0.8708,0.79511,0.91149,0.57795,1.2007,2.49358,0.00926,0.00128074,0.00128074,0.00128074
3,481.41,1.33498,2.20225,0.00866,0.90858,0.79021,0.90794,0.56473,1.17754,2.13217,0.00908,0.0018597,0.0018597,0.0018597
4,648.992,1.31403,1.84024,0.00848,0.94401,0.81346,0.93819,0.60093,1.19032,1.61098,0.00944,0.001802,0.001802,0.001802
5,805.882,1.29462,1.62312,0.0085,0.88827,0.85094,0.92728,0.62986,1.14005,1.53195,0.00872,0.001736,0.001736,0.001736
6,954.552,1.29579,1.45768,0.00844,0.9311,0.79817,0.91913,0.62109,1.203,1.18402,0.00919,0.00167,0.00167,0.00167
7,1102.04,1.22319,1.31004,0.0078,0.92367,0.81408,0.93119,0.62939,1.11184,1.1582,0.00847,0.001604,0.001604,0.001604
8,1250.09,1.23416,1.21023,0.00769,0.88278,0.82907,0.92319,0.65544,1.09289,1.0251,0.00834,0.001538,0.001538,0.001538
9,1399.41,1.17997,1.12311,0.00749,0.91117,0.81346,0.93372,0.65565,1.15127,0.98879,0.00859,0.001472,0.001472,0.001472
10,1558.78,1.22005,1.13129,0.00794,0.87186,0.86239,0.94346,0.66756,1.06621,0.97926,0.00797,0.001406,0.001406,0.001406
11,1707.91,1.22611,1.02155,0.00801,0.91121,0.85015,0.94424,0.66552,1.06808,0.89979,0.00862,0.00134,0.00134,0.00134
12,1858.63,1.20221,1.03293,0.00766,0.9137,0.82569,0.94173,0.67031,1.03213,0.83682,0.00763,0.001274,0.001274,0.001274
13,2012.27,1.171,0.99711,0.00726,0.93658,0.82263,0.94753,0.68381,0.96482,0.8197,0.00732,0.001208,0.001208,0.001208
14,2168.24,1.1647,0.93128,0.00714,0.90029,0.86544,0.95194,0.68435,1.04807,0.7562,0.00777,0.001142,0.001142,0.001142
15,2321.17,1.15073,0.89189,0.00716,0.93057,0.86069,0.9534,0.68516,1.07243,0.71731,0.00811,0.001076,0.001076,0.001076
16,2475.36,1.14112,0.89034,0.00733,0.92414,0.85015,0.94827,0.69245,1.01159,0.74268,0.00755,0.00101,0.00101,0.00101
17,2628.49,1.13619,0.88954,0.00678,0.90761,0.88073,0.94954,0.69791,0.99757,0.75664,0.00729,0.000944,0.000944,0.000944
18,2782.74,1.10171,0.84563,0.00686,0.9091,0.82578,0.94369,0.70023,0.95264,0.71338,0.00694,0.000878,0.000878,0.000878
19,2936.95,1.0852,0.83192,0.00681,0.92033,0.84784,0.95037,0.70027,0.98578,0.68774,0.00737,0.000812,0.000812,0.000812
20,3090.81,1.10898,0.83409,0.00669,0.93642,0.85933,0.955,0.71238,0.93535,0.67919,0.00673,0.000746,0.000746,0.000746
21,3243.85,1.03088,0.7571,0.00655,0.90905,0.84404,0.94604,0.69392,0.96269,0.70399,0.00704,0.00068,0.00068,0.00068
22,3394.62,1.00918,0.76137,0.00634,0.90774,0.86239,0.95122,0.71503,0.95358,0.70717,0.007,0.000614,0.000614,0.000614
23,3543.78,0.98305,0.76825,0.00619,0.88983,0.87156,0.94896,0.70735,0.93266,0.73601,0.00682,0.000548,0.000548,0.000548
24,3695.35,0.99647,0.75573,0.00628,0.89777,0.88625,0.9482,0.71264,0.94717,0.66352,0.0069,0.000482,0.000482,0.000482
25,3851.97,0.97905,0.75607,0.00602,0.91912,0.87768,0.95046,0.71942,0.94,0.66282,0.00679,0.000416,0.000416,0.000416
26,4011.11,0.9689,0.69843,0.00598,0.91847,0.84709,0.94961,0.71822,0.93793,0.64527,0.00675,0.00035,0.00035,0.00035
27,4164.38,0.93516,0.71324,0.00565,0.90886,0.8685,0.95361,0.7148,0.94379,0.6395,0.0069,0.000284,0.000284,0.000284
28,4312.98,0.93769,0.69897,0.00566,0.91058,0.87462,0.95598,0.72221,0.92117,0.64961,0.00669,0.000218,0.000218,0.000218
29,4466.11,0.92175,0.72203,0.00557,0.93858,0.86239,0.95318,0.71982,0.91511,0.65166,0.0066,0.000152,0.000152,0.000152
30,4625.26,0.91558,0.68945,0.00569,0.93468,0.86239,0.95301,0.71906,0.91024,0.64439,0.00649,8.6e-05,8.6e-05,8.6e-05
