epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1941,1.39782,3.52128,0.00906,0.90267,0.53887,0.71928,0.47531,1.10223,3.78,0.0088,0.000657778,0.000657778,0.000657778
2,60.928,1.3114,2.67067,0.00834,0.89428,0.76147,0.87701,0.56049,1.14883,2.59906,0.00892,0.00128074,0.00128074,0.00128074
3,91.6962,1.31124,2.21281,0.0084,0.91167,0.78903,0.89653,0.56008,1.19355,2.1853,0.00918,0.0018597,0.0018597,0.0018597
4,122.136,1.34133,1.84961,0.0087,0.92267,0.82569,0.90833,0.58617,1.27784,1.69701,0.01081,0.001802,0.001802,0.001802
5,153.53,1.32824,1.62815,0.00881,0.91405,0.84404,0.93621,0.61432,1.16202,1.41452,0.00873,0.001736,0.001736,0.001736
6,184.761,1.29231,1.47906,0.00837,0.91507,0.81346,0.92329,0.62944,1.14256,1.26958,0.00896,0.00167,0.00167,0.00167
7,215.617,1.24723,1.32467,0.00807,0.90946,0.8318,0.93138,0.64458,1.21375,1.15121,0.00954,0.001604,0.001604,0.001604
8,246.868,1.25996,1.21102,0.00797,0.89272,0.83982,0.937,0.65438,1.08131,0.98287,0.00808,0.001538,0.001538,0.001538
9,277.85,1.17869,1.14061,0.00756,0.88419,0.83486,0.93588,0.65414,1.13709,1.03621,0.00828,0.001472,0.001472,0.001472
10,307.499,1.22163,1.09611,0.00796,0.91917,0.85321,0.95417,0.68893,1.1225,0.91504,0.00856,0.001406,0.001406,0.001406
11,337.214,1.21469,1.03874,0.00795,0.92373,0.83792,0.94474,0.66159,1.10274,0.83896,0.00844,0.00134,0.00134,0.00134
12,365.956,1.17168,1.02743,0.00735,0.91081,0.84323,0.94351,0.68278,1.07415,0.81812,0.00782,0.001274,0.001274,0.001274
13,395.092,1.18547,0.98187,0.00723,0.89354,0.82135,0.93605,0.67016,1.06887,0.8607,0.00814,0.001208,0.001208,0.001208
14,424.119,1.17433,0.93639,0.00722,0.8873,0.8685,0.9541,0.68751,1.05166,0.79565,0.00763,0.001142,0.001142,0.001142
15,453.108,1.13352,0.89223,0.00692,0.91552,0.8617,0.95437,0.69202,1.08594,0.77141,0.00828,0.001076,0.001076,0.001076
16,481.877,1.13905,0.90634,0.00742,0.93834,0.83772,0.95046,0.70469,1.01301,0.75589,0.00761,0.00101,0.00101,0.00101
17,510.914,1.15603,0.88874,0.00695,0.90525,0.84726,0.95307,0.70069,0.99789,0.76898,0.0073,0.000944,0.000944,0.000944
18,540.004,1.09668,0.86742,0.00677,0.91298,0.86239,0.95187,0.70692,0.99504,0.69745,0.00703,0.000878,0.000878,0.000878
19,569.014,1.08671,0.84818,0.00681,0.92559,0.87489,0.95523,0.71098,1.03573,0.73193,0.00777,0.000812,0.000812,0.000812
20,598,1.10205,0.85801,0.00665,0.9008,0.85321,0.95392,0.71325,0.99396,0.72171,0.00706,0.000746,0.000746,0.000746
21,625.278,0.9862,0.7727,0.0062,0.89722,0.88685,0.9531,0.71176,0.98273,0.72813,0.00692,0.00068,0.00068,0.00068
22,652.623,0.99462,0.78687,0.00626,0.90874,0.88308,0.95594,0.71955,0.9879,0.68144,0.00711,0.000614,0.000614,0.000614
23,679.688,0.9669,0.78495,0.00622,0.91473,0.89297,0.95602,0.71228,0.99025,0.65853,0.00714,0.000548,0.000548,0.000548
24,707.123,0.97901,0.74303,0.00621,0.91289,0.86525,0.95243,0.71031,1.00016,0.64892,0.00701,0.000482,0.000482,0.000482
25,734.351,0.97098,0.74184,0.00593,0.91377,0.88685,0.95737,0.72365,0.97973,0.62167,0.00686,0.000416,0.000416,0.000416
26,761.868,0.96416,0.69889,0.00595,0.90648,0.88924,0.95457,0.72338,0.97594,0.61936,0.00688,0.00035,0.00035,0.00035
27,789.413,0.94494,0.70497,0.00561,0.91728,0.8817,0.95499,0.72015,0.96446,0.63514,0.00686,0.000284,0.000284,0.000284
28,816.668,0.94208,0.71319,0.00577,0.91424,0.89297,0.9542,0.72336,0.94901,0.60452,0.00665,0.000218,0.000218,0.000218
29,843.861,0.93748,0.71233,0.0057,0.91953,0.89602,0.95753,0.72289,0.95879,0.60317,0.00676,0.000152,0.000152,0.000152
30,870.967,0.92932,0.68812,0.00569,0.91505,0.88991,0.95525,0.72237,0.95109,0.58628,0.00667,8.6e-05,8.6e-05,8.6e-05
